07.05.2023,,,,,,,
20:00,n/a,,,,,,
seria,grupa,cwiczenie,x,pow,kg,total,total dnia
,tricpes,one hand overhead extensions,2,6,6,72,break
2,biecps,dumbbell curls,2,6,10,120,7min
,tricpes,one hand overhead extensions,2,6,6,72,
3,biecps,dumbbell curls,2,6,10,120,7min
,tricpes,one hand overhead extensions,2,6,6,72,
4,biecps,dumbbell curls,2,8,10,160,7min
,tricpes,one hand overhead extensions,2,8,6,96,
5,biecps,dumbbell curls,2,8,10,160,7min
,tricpes,one hand overhead extensions,2,6,6,72,
6,biecps,dumbbell curls,2,6,10,120,7min
,tricpes,one hand overhead extensions,2,6,6,72,
7,biecps,dumbbell curls,2,6,11,132,7min
,tricpes,one hand overhead extensions,2,6,6,72,
8,biecps,dumbbell curls,2,6,12,144,7min
,tricpes,one hand overhead extensions,2,6,6,72,
9,biecps,dumbbell curls,2,4,12,96,7min
,,,,,,,
,,,,,,,
27.05.2023,,,,,,,
13:00,,,,,,,
seria,grupa,cwiczenie,x,pow,kg,total,total dnia
1,klatka,bench press,1,6,40,240,3752
2,klatka,bench press,1,8,40,320,5 min
3,klatka,bench press,1,8,40,320,5 min
4,klatka,bench press,1,6,40,240,5 min
5,plecy,dumbbell rows,2,8,20,320,5 min
6,plecy,dumbbell rows,2,10,22,440,5 min
7,plecy,dumbbell rows,2,8,24,384,5 min
8,klatka,bench press,1,6,40,240,5 min
9,klatka,bench press,1,6,40,240,5 min
,plecy,dumbbell rows,2,8,24,384,
10,klatka,bench press,1,6,40,240,5 min
,plecy,dumbbell rows,2,8,24,384,
11,klatka,bench press,1,FAIL,46,,5 min
,,,,,,,
,,,,,,,
28.05.2023,,,,,,,
13:20,,,,,,,
seria,grupa,cwiczenie,x,pow,kg,total,total dnia
1,all,deadlift,1,10,46,460,1676
2,all,deadlift,1,10,46,460,7min
3,all,deadlift,1,6,60,360,7min
4,all,deadlift,1,6,66,396,7min
5,all,deadlift,1,RPMax,68,,7min
